City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulladulla,-35.35,150.4667,11.97,57,0,5.59,AU,1688843411
1,bethel,41.3712,-73.414,30.92,64,100,2.06,US,1688843217
2,ust-nera,64.5667,143.2,14.35,82,100,1.57,RU,1688843411
3,ilulissat,69.2167,-51.1,7.01,87,75,2.57,GL,1688843412
4,grytviken,-54.2811,-36.5092,-7.07,83,23,5.45,GS,1688843412
5,san antonio de pale,-1.4014,5.6325,23.09,89,100,5.06,GQ,1688843412
6,hakui,36.8833,136.7833,22.96,99,100,3.31,JP,1688843412
7,saipan,15.1355,145.701,28.39,100,20,4.92,MP,1688843413
8,albany,42.6001,-73.9662,30.02,69,76,1.25,US,1688843123
9,dudinka,69.4058,86.1778,14.79,86,100,2.59,RU,1688843413
10,ribeira grande,38.5167,-28.7,23.22,64,20,4.63,PT,1688843414
11,adamstown,-25.066,-130.1015,22.76,62,100,7.02,PN,1688843415
12,aasiaat,68.7098,-52.8699,3.98,93,100,2.18,GL,1688843415
13,port-aux-francais,-49.35,70.2167,1.11,81,98,5.35,TF,1688843416
14,hermanus,-34.4187,19.2345,9.89,67,83,9.23,ZA,1688843416
15,zakynthos,37.7914,20.8953,27.62,42,0,3.6,GR,1688843416
16,longyearbyen,78.2186,15.6401,7.91,81,75,4.63,SJ,1688843416
17,udachny,66.4167,112.4,14.98,66,96,2.37,RU,1688843417
18,bredasdorp,-34.5322,20.0403,9.32,70,32,6.1,ZA,1688843417
19,qaqortoq,60.7167,-46.0333,8.29,77,12,2.19,GL,1688843418
20,popondetta,-8.7537,148.2534,22.24,92,100,1.26,PG,1688843418
21,akureyri,65.6835,-18.0878,12.96,71,20,3.09,IS,1688843418
22,sant antoni de portmany,38.9807,1.3036,27.99,76,0,1.54,ES,1688843418
23,piti village,13.4626,144.6933,27.49,85,40,4.63,GU,1688843419
24,maintirano,-18.0667,44.0167,22.91,77,52,1.71,MG,1688843419
25,inhambane,-23.865,35.3833,19.97,78,0,5.91,MZ,1688843419
26,nantucket,41.2835,-70.0995,27.08,86,40,3.09,US,1688843419
27,kirakira,-10.4544,161.9205,25.91,88,100,4.82,SB,1688843420
28,badger,64.8,-147.5333,14.43,70,75,8.75,US,1688843420
29,san jose,37.3394,-121.895,24.09,54,20,6.17,US,1688842910
30,myitkyina,25.3833,97.4,23.94,99,100,0.57,MM,1688843295
31,angra do heroismo,38.65,-27.2167,20.3,63,13,2.77,PT,1688843420
32,langfang,39.5097,116.6947,27.73,36,0,2.75,CN,1688843421
